subject_id,course_id,plan_type,semester,thai_subject,eng_subject,credits,compulsory_subject,condition,description_id,clo_id
517500,MSIT66,วิชาการ แบบ ก 2,ปีที่ 1 ภาคการศึกษาที่ 1,การเขียนโปรแกรมไพธอน  ,Python Programming,3*(3-0-6),,วัดผลการศึกษาเป็น S หรือ U,517500,517500
517501,MSIT66,วิชาการ แบบ ก 2,ปีที่ 1 ภาคการศึกษาที่ 1,การปรับเปลี่ยนสู่ดิจิทัล,Digital Transformation,3(3-0-6),,,517501,517501
------,MSIT66,วิชาการ แบบ ก 2,ปีที่ 1 ภาคการศึกษาที่ 1,วิชาบังคับเลือก,,6,,,,
------,MSIT66,วิชาการ แบบ ก 2,ปีที่ 1 ภาคการศึกษาที่ 2,วิชาบังคับเลือก,,3,,,,
------,MSIT66,วิชาการ แบบ ก 2,ปีที่ 1 ภาคการศึกษาที่ 2,วิชาเลือก,,9,,,,
517601,MSIT66,วิชาการ แบบ ก 2,ปีที่ 2 ภาคการศึกษาที่ 1,สัมมนา,Seminar,3(3-0-6),,วัดผลการศึกษาเป็น S หรือ U,517601,517601
517692,MSIT66,วิชาการ แบบ ก 2,ปีที่ 2 ภาคการศึกษาที่ 2,วิทยานิพนธ์,Thesis,12,,โดยความยินยอมจากภาควิชาคอมพิวเตอร์,517692,517692
517500,MSIT66,วิชาชีพ,ปีที่ 1 ภาคการศึกษาที่ 1,การเขียนโปรแกรมไพธอน  ,Python Programming,3*(3-0-6),,วัดผลการศึกษาเป็น S หรือ U,517500,517500
517501,MSIT66,วิชาชีพ,ปีที่ 1 ภาคการศึกษาที่ 1,การปรับเปลี่ยนสู่ดิจิทัล,Digital Transformation,3(3-0-6),,,517501,517501
------,MSIT66,วิชาชีพ,ปีที่ 1 ภาคการศึกษาที่ 1,วิชาบังคับเลือก,,6,,,,
------,MSIT66,วิชาชีพ,ปีที่ 1 ภาคการศึกษาที่ 2,วิชาบังคับเลือก,,3,,,,
------,MSIT66,วิชาชีพ,ปีที่ 1 ภาคการศึกษาที่ 2,วิชาเลือก,,9,,,,
517601,MSIT66,วิชาชีพ,ปีที่ 2 ภาคการศึกษาที่ 1,สัมมนา,Seminar,3(3-0-6),,วัดผลการศึกษาเป็น S หรือ U,517601,517601
------,MSIT66,วิชาชีพ,ปีที่ 2 ภาคการศึกษาที่ 1,วิชาเลือก,,6,,,,
517691,MSIT66,วิชาชีพ,ปีที่ 2 ภาคการศึกษาที่ 2,การค้นคว้าอิสระ,Independent Study,6,,โดยความยินยอมจากภาควิชาคอมพิวเตอร์,517691,517691
